id	name	country_id	province_id	ed_id	centroid	population
EC-01	Colombo	LK	LK-1	EC-01	[6.869685, 80.019739]	2323964
EC-02	Gampaha	LK	LK-1	EC-02	[7.123587, 80.018428]	2304833
EC-03	Kalutara	LK	LK-1	EC-03	[6.577363, 80.127415]	1221948
EC-04	Kandy	LK	LK-2	EC-04	[7.273339, 80.709712]	1375382
EC-05	Matale	LK	LK-2	EC-05	[7.667594, 80.730964]	484531
EC-06	Nuwara-Eliya	LK	LK-2	EC-06	[6.974246, 80.711236]	711644
EC-07	Galle	LK	LK-3	EC-07	[6.222873, 80.252034]	1063334
EC-08	Matara	LK	LK-3	EC-08	[6.142818, 80.540032]	814048
EC-09	Hambantota	LK	LK-3	EC-09	[6.259794, 81.098488]	599903
EC-10	Jaffna	LK	LK-4	EC-10	[9.537056, 80.213392]	697392
EC-11	Vanni	LK	LK-4	EC-11	[8.988586, 80.38532]	363823
EC-12	Batticaloa	LK	LK-5	EC-12	[7.792541, 81.486564]	526567
EC-13	Digamadulla	LK	LK-5	EC-13	[7.237331, 81.550219]	649402
EC-14	Trincomalee	LK	LK-5	EC-14	[8.551064, 81.091792]	379541
EC-15	Kurunegala	LK	LK-6	EC-15	[7.664752, 80.236782]	1617287
EC-16	Puttalam	LK	LK-6	EC-16	[7.973502, 79.91392]	762396
EC-17	Anuradhapura	LK	LK-7	EC-17	[8.39199, 80.512962]	860575
EC-18	Polonnaruwa	LK	LK-7	EC-18	[7.993729, 81.026118]	406088
EC-19	Badulla	LK	LK-8	EC-19	[7.074508, 81.044898]	815405
EC-20	Moneragala	LK	LK-8	EC-20	[6.787468, 81.303753]	451058
EC-21	Ratnapura	LK	LK-9	EC-21	[6.586845, 80.566165]	1088007
EC-22	Kegalle	LK	LK-9	EC-22	[7.104189, 80.342871]	840648
