id	name	country_id	province_id	district_id	ed_id	pd_id	centroid	population
EC-19G	Welimada	LK	LK-8	LK-81	EC-19	EC-19G	[6.859631, 80.881415]	102802
EC-19H	Bandarawela	LK	LK-8	LK-81	EC-19	EC-19H	[6.852904, 81.043051]	110683
EC-19I	Haputale	LK	LK-8	LK-81	EC-19	EC-19I	[6.713969, 80.964235]	85362
EC-20A	Bibile	LK	LK-8	LK-82	EC-20	EC-20A	[7.151579, 81.362595]	107448
EC-20B	Monaragala	LK	LK-8	LK-82	EC-20	EC-20B	[6.850236, 81.449425]	143663
EC-20C	Wellawaya	LK	LK-8	LK-82	EC-20	EC-20C	[6.555976, 81.186622]	199947
EC-21A	Eheliyagoda	LK	LK-9	LK-91	EC-21	EC-21A	[6.81452, 80.263063]	135158
EC-21B	Ratnapura	LK	LK-9	LK-91	EC-21	EC-21B	[6.760541, 80.412951]	156785
EC-21C	Pelmadulla	LK	LK-9	LK-91	EC-21	EC-21C	[6.670695, 80.524483]	111240
EC-21D	Balangoda	LK	LK-9	LK-91	EC-21	EC-21D	[6.670533, 80.753365]	141040
EC-21E	Rakwana	LK	LK-9	LK-91	EC-21	EC-21E	[6.539142, 80.68667]	134039
EC-21F	Nivithigala	LK	LK-9	LK-91	EC-21	EC-21F	[6.5763, 80.468603]	138256
EC-21G	Kalawana	LK	LK-9	LK-91	EC-21	EC-21G	[6.524955, 80.402512]	90822
EC-21H	Kolonna	LK	LK-9	LK-91	EC-21	EC-21H	[6.365973, 80.771709]	180667
EC-22A	Dedigama	LK	LK-9	LK-92	EC-22	EC-22A	[7.203734, 80.231718]	113056
EC-22B	Galigamuwa	LK	LK-9	LK-92	EC-22	EC-22B	[7.203313, 80.309805]	84968
EC-22C	Kegalle	LK	LK-9	LK-92	EC-22	EC-22C	[7.213223, 80.366712]	88998
EC-22D	Rambukkana	LK	LK-9	LK-92	EC-22	EC-22D	[7.323122, 80.386388]	82769
EC-22E	Mawanella	LK	LK-9	LK-92	EC-22	EC-22E	[7.22692, 80.47364]	119029
EC-22F	Aranayaka	LK	LK-9	LK-92	EC-22	EC-22F	[7.161628, 80.439771]	63018
EC-22G	Yatiyanthota	LK	LK-9	LK-92	EC-22	EC-22G	[7.050784, 80.367372]	97713
EC-22H	Ruwanwella	LK	LK-9	LK-92	EC-22	EC-22H	[7.042469, 80.227654]	99127
EC-22I	Deraniyagala	LK	LK-9	LK-92	EC-22	EC-22I	[6.911245, 80.360729]	91970
